project_name,domain,description,technologies,difficulty,dataset,learning_topics
Resume Parser + Job Matcher,NLP,Extract skills and experience from resumes and match them to job postings using semantic similarity.,Python SpaCy Transformers Scikit-learn,Beginner,API-Collected Dataset,Natural Language Processing
Market Basket Analysis Tool,Machine Learning,Discover product purchase patterns using Apriori and FP-Growth frequent-itemset algorithms.,Python Mlxtend Pandas Plotly,Advanced,Kaggle Dataset,Recommendation Systems
Multilingual Text Classifier,NLP,Classify documents in 10 languages into predefined categories using XLM-RoBERTa fine-tuning.,Python Transformers HuggingFace Pandas,Advanced,Public Dataset,Natural Language Processing
Industrial Anomaly Detector,Machine Learning,Detect manufacturing defects in sensor time-series data using autoencoder reconstruction error.,Python PyTorch Scikit-learn Pandas,Advanced,Web-Scraped Dataset,Deep Learning
Patient Readmission Predictor,Data Science,Forecast hospital readmission within 30 days using structured EHR data and gradient boosting.,Python XGBoost Scikit-learn Pandas,Beginner,Government Dataset,Classification
Sports Outcome Predictor,Machine Learning,"Predict football match outcomes using Elo ratings, form indices, and poisson goal models.",Python Scikit-learn Pandas NumPy,Intermediate,Web-Scraped Dataset,Classification
Smart Home Energy Monitor,Data Science,Disaggregate appliance-level energy consumption from smart-meter readings using NILM techniques.,Python Scikit-learn Pandas Plotly,Intermediate,Open Dataset,Time Series
Social Network Community Detector,Machine Learning,Detect communities in social graphs using Louvain algorithm with embedding-based node classification.,Python NetworkX PyTorch Pandas,Intermediate,Research Dataset,Classification
Traffic Flow Predictor,Data Science,Predict road traffic density per segment using historical GPS probe data and weather with LSTM.,Python TensorFlow Pandas Folium,Advanced,API-Collected Dataset,Time Series
Medical Chatbot for Symptom Triage,NLP,Build a conversational symptom checker that maps user inputs to potential diagnoses using LLM fine-tuning.,Python Transformers FastAPI Streamlit,Intermediate,Kaggle Dataset,Natural Language Processing
COVID-19 X-Ray Classifier,Computer Vision,"Classify chest X-rays as COVID-19, pneumonia, or normal using transfer learning with ResNet.",Python TensorFlow Keras OpenCV,Intermediate,Open Dataset,Deep Learning
Gesture Recognition Interface,Computer Vision,Translate hand gestures to commands using MediaPipe landmark extraction and LSTM classification.,Python MediaPipe TensorFlow OpenCV,Intermediate,Public Dataset,Computer Vision
Real-Time Object Detector,Computer Vision,Detect and track objects in live video streams using YOLOv8 with custom dataset fine-tuning.,Python PyTorch OpenCV Ultralytics,Intermediate,Public Dataset,Computer Vision
Revenue Forecasting Engine,Data Science,Predict quarterly company revenue from sales CRM data using Facebook Prophet with seasonality decomposition.,Python Prophet Pandas Plotly,Intermediate,Synthetic Dataset,Time Series
Pest Outbreak Forecaster,Machine Learning,Predict regional pest outbreak probability from agricultural and climate data using random forest.,Python Scikit-learn Pandas Matplotlib,Advanced,Government Dataset,Classification
Music Genre Classifier,Machine Learning,"Classify music tracks into genres from MFCC, chroma, and spectral features using SVM and random forest.",Python Librosa Scikit-learn Pandas,Intermediate,Government Dataset,Classification
Revenue Forecasting Engine,Data Science,Predict quarterly company revenue from sales CRM data using Facebook Prophet with seasonality decomposition.,Python Prophet Pandas Plotly,Advanced,Open Dataset,Time Series
Multi-Task Learning Framework,Deep Learning,Train a shared backbone network on multiple related NLP tasks simultaneously with task-specific heads.,Python PyTorch Transformers HuggingFace,Intermediate,API-Collected Dataset,Deep Learning
Fall Detection Wearable Model,Machine Learning,Detect elderly falls from accelerometer data using SVM and sliding window feature extraction.,Python Scikit-learn Pandas NumPy,Intermediate,Open Dataset,Classification
Document Summarisation Engine,NLP,Summarise long PDFs and reports using extractive (TextRank) and abstractive (BART) techniques.,Python Transformers HuggingFace PyPDF2,Intermediate,Open Dataset,Natural Language Processing
Document Summarisation Engine,NLP,Summarise long PDFs and reports using extractive (TextRank) and abstractive (BART) techniques.,Python Transformers HuggingFace PyPDF2,Advanced,Government Dataset,Natural Language Processing
Predictive Maintenance System,Machine Learning,Predict machine failures from IoT sensor vibration and temperature data using LSTM and isolation forest.,Python TensorFlow Scikit-learn Pandas,Intermediate,Open Dataset,Time Series
Traffic Flow Predictor,Data Science,Predict road traffic density per segment using historical GPS probe data and weather with LSTM.,Python TensorFlow Pandas Folium,Advanced,Kaggle Dataset,Time Series
Water Quality Predictor,Data Science,Predict water potability from chemical sensor readings using random forest with cross-validated accuracy.,Python Scikit-learn Pandas Matplotlib,Intermediate,Government Dataset,Classification
GAN-Based Face Generator,Computer Vision,Generate photorealistic human faces using a progressive GAN with latent-space interpolation.,Python PyTorch TensorFlow NumPy,Beginner,Synthetic Dataset,Deep Learning
Game Bot with Reinforcement Learning,AI,Train an RL agent to play Atari games using Deep Q-Network (DQN) with experience replay.,Python Stable-Baselines3 Gym PyTorch,Beginner,Kaggle Dataset,Deep Learning
Book Recommendation Engine,Machine Learning,Recommend books using content-based filtering on TF-IDF of descriptions and user reading history.,Python Scikit-learn Pandas Streamlit,Beginner,Synthetic Dataset,Recommendation Systems
Log Anomaly Detector,Machine Learning,Detect anomalous server log patterns signalling attacks using isolation forest and autoencoder.,Python PyTorch Scikit-learn Pandas,Intermediate,Government Dataset,Deep Learning
Algorithmic Trading Bot,Data Science,Develop an automated trading strategy backtester using TA-Lib indicators and reinforcement learning.,Python Stable-Baselines3 Pandas Plotly,Intermediate,Web-Scraped Dataset,Time Series
Multi-Task Learning Framework,Deep Learning,Train a shared backbone network on multiple related NLP tasks simultaneously with task-specific heads.,Python PyTorch Transformers HuggingFace,Advanced,Synthetic Dataset,Deep Learning
Sports Outcome Predictor,Machine Learning,"Predict football match outcomes using Elo ratings, form indices, and poisson goal models.",Python Scikit-learn Pandas NumPy,Beginner,Web-Scraped Dataset,Classification
Hyperparameter Tuning Engine,Machine Learning,Automate hyperparameter search using Bayesian optimisation (Optuna) and compare CV results.,Python Optuna Scikit-learn XGBoost,Beginner,Public Dataset,Classification
Irrigation Optimiser,Data Science,Recommend irrigation schedules based on soil moisture sensors and weather forecasts using LSTM.,Python TensorFlow Pandas Plotly,Intermediate,Government Dataset,Time Series
Ride-Sharing Demand Forecaster,Data Science,Forecast ride-share demand at zone-hour level using spatio-temporal LSTM on NYC taxi data.,Python TensorFlow Pandas Folium,Advanced,Research Dataset,Time Series
Customer Churn Predictor,Machine Learning,Identify customers likely to cancel subscriptions using XGBoost with cohort analysis visualisations.,Python XGBoost Scikit-learn Pandas,Intermediate,Public Dataset,Classification
Traffic Flow Predictor,Data Science,Predict road traffic density per segment using historical GPS probe data and weather with LSTM.,Python TensorFlow Pandas Folium,Intermediate,Web-Scraped Dataset,Time Series
Code Comment Generator,NLP,Generate docstrings and inline comments for Python functions using a fine-tuned CodeBERT model.,Python Transformers HuggingFace FastAPI,Advanced,Open Dataset,Natural Language Processing
Social Network Community Detector,Machine Learning,Detect communities in social graphs using Louvain algorithm with embedding-based node classification.,Python NetworkX PyTorch Pandas,Advanced,Government Dataset,Classification
COVID-19 X-Ray Classifier,Computer Vision,"Classify chest X-rays as COVID-19, pneumonia, or normal using transfer learning with ResNet.",Python TensorFlow Keras OpenCV,Advanced,Open Dataset,Deep Learning
Time Series Anomaly Detector,Data Science,"Flag anomalies in multivariate time-series data using isolation forest, LOF, and LSTM autoencoder.",Python PyTorch Scikit-learn Pandas,Beginner,Open Dataset,Time Series
Document Summarisation Engine,NLP,Summarise long PDFs and reports using extractive (TextRank) and abstractive (BART) techniques.,Python Transformers HuggingFace PyPDF2,Intermediate,Kaggle Dataset,Natural Language Processing
Medical Chatbot for Symptom Triage,NLP,Build a conversational symptom checker that maps user inputs to potential diagnoses using LLM fine-tuning.,Python Transformers FastAPI Streamlit,Intermediate,Government Dataset,Natural Language Processing
Traffic Flow Predictor,Data Science,Predict road traffic density per segment using historical GPS probe data and weather with LSTM.,Python TensorFlow Pandas Folium,Advanced,Web-Scraped Dataset,Time Series
Smart Home Energy Monitor,Data Science,Disaggregate appliance-level energy consumption from smart-meter readings using NILM techniques.,Python Scikit-learn Pandas Plotly,Intermediate,Web-Scraped Dataset,Time Series
Ride-Sharing Demand Forecaster,Data Science,Forecast ride-share demand at zone-hour level using spatio-temporal LSTM on NYC taxi data.,Python TensorFlow Pandas Folium,Beginner,Research Dataset,Time Series
Market Basket Analysis Tool,Machine Learning,Discover product purchase patterns using Apriori and FP-Growth frequent-itemset algorithms.,Python Mlxtend Pandas Plotly,Intermediate,Synthetic Dataset,Recommendation Systems
Question Answering Chatbot,NLP,Build a context-aware QA bot using RAG (retrieval augmented generation) with FAISS and GPT.,Python Transformers FAISS LangChain,Beginner,Open Dataset,Natural Language Processing
Code Comment Generator,NLP,Generate docstrings and inline comments for Python functions using a fine-tuned CodeBERT model.,Python Transformers HuggingFace FastAPI,Beginner,Public Dataset,Natural Language Processing
Drug-Drug Interaction Predictor,Machine Learning,Predict harmful drug interactions using graph neural networks on molecular structure embeddings.,Python PyTorch DGL Pandas,Beginner,Web-Scraped Dataset,Deep Learning
Diabetic Retinopathy Detector,Computer Vision,Detect diabetic retinopathy in fundus images using convolutional neural networks to assist ophthalmologists.,Python TensorFlow Keras OpenCV,Beginner,Public Dataset,Computer Vision
Spam Email Classifier,NLP,Filter spam emails using TF-IDF + naive Bayes with multinomial likelihood estimation and threshold tuning.,Python Scikit-learn Pandas Matplotlib,Intermediate,Kaggle Dataset,Natural Language Processing
Malware Classifier,Machine Learning,Classify malware families from static PE-file features using gradient boosting with SHAP analysis.,Python XGBoost Scikit-learn Pandas,Beginner,Synthetic Dataset,Classification
Interview Performance Scorer,NLP,"Score candidate interview responses using sentiment, coherence, and keyword analysis with BERT.",Python Transformers HuggingFace Pandas,Intermediate,Public Dataset,Natural Language Processing
